status_conta,duracao_mes,hist_credito,proposito,qtdd_credito,reserva,temp_man_empr_atual,percen_tx_rendim_disp,genero,estado_civil,dev_fiadores,tempo_res_atual,patrimonio,idade_anos,outros_par,habitacao,n_creditos,status_ocupacional,n_corresponsaveis,telefone,estrangeiro,classe,ID
Negativo,60,atraso no pagamento no passado,negócios,6836,< 100,> 7,3,Homem, solteiro,nenhum,4,desconhecido/sem propriedade,63,nenhum,própria,2,funcionário/funcionário qualificado,1,"Sim, registrado em nome do cliente",Sim,Ruim,30
Regular,18,créditos existentes pagos devidamente até agora,negócios,1913,> 1000,...<1ano,3,Homem,uniao registrada,nenhum,3,imobiliária,36,banco,própria,1,funcionário/funcionário qualificado,1,"Sim, registrado em nome do cliente",Sim,Bom,31
Negativo,24,créditos existentes pagos devidamente até agora,móveis/equipamentos,4020,< 100,1 - 4,2,Homem, solteiro,nenhum,2,"carro ou outro, não em conta poupança/títulos",27,lojas,própria,1,funcionário/funcionário qualificado,1,Nenhum,Sim,Bom,32
Regular,18,créditos existentes pagos devidamente até agora,carro (novo),5866,100 - 500,1 - 4,2,Homem, solteiro,nenhum,2,"carro ou outro, não em conta poupança/títulos",30,nenhum,própria,2,funcionário/funcionário qualificado,1,"Sim, registrado em nome do cliente",Sim,Bom,33
Inexistente,12,conta crítica/outros créditos existentes (não neste banco),negócios,1264,desconhecido/semcontapoupança,> 7,4,Homem, solteiro,nenhum,4,desconhecido/sem propriedade,57,nenhum,alugada,1,não qualificado - residente,1,Nenhum,Sim,Bom,34
Alto,12,créditos existentes pagos devidamente até agora,móveis/equipamentos,1474,< 100,...<1ano,4,Mulher,uniao registrada,nenhum,1,contrato de poupança/seguro de vida da sociedade civil,33,banco,própria,1,gestão / autônomo / funcionário / diretor altamente qualificado,1,"Sim, registrado em nome do cliente",Sim,Bom,35
Regular,45,conta crítica/outros créditos existentes (não neste banco),rádio/televisão,4746,< 100,...<1ano,4,Homem, solteiro,nenhum,2,contrato de poupança/seguro de vida da sociedade civil,25,nenhum,própria,2,não qualificado - residente,1,Nenhum,Sim,Ruim,36
Inexistente,48,conta crítica/outros créditos existentes (não neste banco),educação,6110,< 100,1 - 4,1,Homem, solteiro,nenhum,3,desconhecido/sem propriedade,31,banco,de graça,1,funcionário/funcionário qualificado,1,"Sim, registrado em nome do cliente",Sim,Bom,37
Alto,18,créditos existentes pagos devidamente até agora,rádio/televisão,2100,< 100,1 - 4,4,Homem, solteiro,co-requerente,2,imobiliária,37,lojas,própria,1,funcionário/funcionário qualificado,1,Nenhum,Sim,Ruim,38
Alto,10,créditos existentes pagos devidamente até agora,eletrodomésticos,1225,< 100,1 - 4,2,Homem, solteiro,nenhum,2,"carro ou outro, não em conta poupança/títulos",37,nenhum,própria,1,funcionário/funcionário qualificado,1,"Sim, registrado em nome do cliente",Sim,Bom,39
Regular,9,créditos existentes pagos devidamente até agora,rádio/televisão,458,< 100,1 - 4,4,Homem, solteiro,nenhum,3,imobiliária,24,nenhum,própria,1,funcionário/funcionário qualificado,1,Nenhum,Sim,Bom,40
Inexistente,30,créditos existentes pagos devidamente até agora,rádio/televisão,2333,500 - 1000,> 7,4,Homem, solteiro,nenhum,2,"carro ou outro, não em conta poupança/títulos",30,banco,própria,1,gestão / autônomo / funcionário / diretor altamente qualificado,1,Nenhum,Sim,Bom,41
Regular,12,créditos existentes pagos devidamente até agora,rádio/televisão,1158,500 - 1000,1 - 4,3,Homem,uniao registrada,nenhum,1,"carro ou outro, não em conta poupança/títulos",26,nenhum,própria,1,funcionário/funcionário qualificado,1,"Sim, registrado em nome do cliente",Sim,Bom,42
Regular,18,atraso no pagamento no passado,reparos,6204,< 100,1 - 4,2,Homem, solteiro,nenhum,4,imobiliária,44,nenhum,própria,1,não qualificado - residente,2,"Sim, registrado em nome do cliente",Sim,Bom,43
Negativo,30,conta crítica/outros créditos existentes (não neste banco),carro (usado),6187,100 - 500,4 - 7,1,Homem,uniao registrada,nenhum,4,"carro ou outro, não em conta poupança/títulos",24,nenhum,alugada,2,funcionário/funcionário qualificado,1,Nenhum,Sim,Bom,44
Negativo,48,conta crítica/outros créditos existentes (não neste banco),carro (usado),6143,< 100,> 7,4,Mulher,uniao registrada,nenhum,4,desconhecido/sem propriedade,58,lojas,de graça,2,não qualificado - residente,1,Nenhum,Sim,Ruim,45
Inexistente,11,conta crítica/outros créditos existentes (não neste banco),carro (novo),1393,< 100,...<1ano,4,Mulher,uniao registrada,nenhum,4,"carro ou outro, não em conta poupança/títulos",35,nenhum,própria,2,gestão / autônomo / funcionário / diretor altamente qualificado,1,Nenhum,Sim,Bom,46
Inexistente,36,créditos existentes pagos devidamente até agora,rádio/televisão,2299,500 - 1000,> 7,4,Homem, solteiro,nenhum,4,"carro ou outro, não em conta poupança/títulos",39,nenhum,própria,1,funcionário/funcionário qualificado,1,Nenhum,Sim,Bom,47
Negativo,6,créditos existentes pagos devidamente até agora,carro (usado),1352,500 - 1000,desempregado,1,Mulher,uniao registrada,nenhum,2,contrato de poupança/seguro de vida da sociedade civil,23,nenhum,alugada,1,desempregado/não qualificado - não residente,1,"Sim, registrado em nome do cliente",Sim,Bom,48
Inexistente,11,conta crítica/outros créditos existentes (não neste banco),carro (novo),7228,< 100,1 - 4,1,Homem, solteiro,nenhum,4,contrato de poupança/seguro de vida da sociedade civil,39,nenhum,própria,2,não qualificado - residente,1,Nenhum,Sim,Bom,49
Inexistente,12,créditos existentes pagos devidamente até agora,rádio/televisão,2073,100 - 500,1 - 4,4,Mulher,uniao registrada,co-requerente,2,imobiliária,28,nenhum,própria,1,funcionário/funcionário qualificado,1,Nenhum,Sim,Bom,50
Regular,24,atraso no pagamento no passado,móveis/equipamentos,2333,desconhecido/semcontapoupança,...<1ano,4,Homem, solteiro,nenhum,2,contrato de poupança/seguro de vida da sociedade civil,29,banco,própria,1,não qualificado - residente,1,Nenhum,Sim,Bom,51
Regular,27,atraso no pagamento no passado,carro (usado),5965,< 100,> 7,1,Homem, solteiro,nenhum,2,"carro ou outro, não em conta poupança/títulos",30,nenhum,própria,2,gestão / autônomo / funcionário / diretor altamente qualificado,1,"Sim, registrado em nome do cliente",Sim,Bom,52
Inexistente,12,créditos existentes pagos devidamente até agora,rádio/televisão,1262,< 100,1 - 4,3,Homem, solteiro,nenhum,2,"carro ou outro, não em conta poupança/títulos",25,nenhum,própria,1,funcionário/funcionário qualificado,1,Nenhum,Sim,Bom,53
Inexistente,18,créditos existentes pagos devidamente até agora,carro (usado),3378,desconhecido/semcontapoupança,1 - 4,2,Homem, solteiro,nenhum,1,contrato de poupança/seguro de vida da sociedade civil,31,nenhum,própria,1,funcionário/funcionário qualificado,1,"Sim, registrado em nome do cliente",Sim,Bom,54
Regular,36,atraso no pagamento no passado,carro (novo),2225,< 100,> 7,4,Homem, solteiro,nenhum,4,desconhecido/sem propriedade,57,banco,de graça,2,funcionário/funcionário qualificado,1,"Sim, registrado em nome do cliente",Sim,Ruim,55
Inexistente,6,todos os créditos deste banco foram devidamente pagos,carro (novo),783,desconhecido/semcontapoupança,1 - 4,1,Homem, solteiro,fiador,2,imobiliária,26,lojas,própria,1,não qualificado - residente,2,Nenhum,Sim,Bom,56
Regular,12,créditos existentes pagos devidamente até agora,rádio/televisão,6468,desconhecido/semcontapoupança,desempregado,2,Homem, solteiro,nenhum,1,desconhecido/sem propriedade,52,nenhum,própria,1,gestão / autônomo / funcionário / diretor altamente qualificado,1,"Sim, registrado em nome do cliente",Sim,Ruim,57
Inexistente,36,conta crítica/outros créditos existentes (não neste banco),rádio/televisão,9566,< 100,1 - 4,2,Mulher,uniao registrada,nenhum,2,"carro ou outro, não em conta poupança/títulos",31,lojas,própria,2,funcionário/funcionário qualificado,1,Nenhum,Sim,Bom,58
Alto,18,créditos existentes pagos devidamente até agora,carro (novo),1961,< 100,> 7,3,Mulher,uniao registrada,nenhum,2,"carro ou outro, não em conta poupança/títulos",23,nenhum,própria,1,gestão / autônomo / funcionário / diretor altamente qualificado,1,Nenhum,Sim,Bom,59
Negativo,36,conta crítica/outros créditos existentes (não neste banco),móveis/equipamentos,6229,< 100,...<1ano,4,Mulher,uniao registrada,co-requerente,4,desconhecido/sem propriedade,23,nenhum,alugada,2,não qualificado - residente,1,"Sim, registrado em nome do cliente",Sim,Ruim,60
Regular,9,créditos existentes pagos devidamente até agora,negócios,1391,< 100,1 - 4,2,Homem,uniao registrada,nenhum,1,imobiliária,27,banco,própria,1,funcionário/funcionário qualificado,1,"Sim, registrado em nome do cliente",Sim,Bom,61
Regular,15,conta crítica/outros créditos existentes (não neste banco),rádio/televisão,1537,desconhecido/semcontapoupança,> 7,4,Homem, solteiro,fiador,4,imobiliária,50,nenhum,própria,2,funcionário/funcionário qualificado,1,"Sim, registrado em nome do cliente",Sim,Bom,62
Regular,36,nenhum crédito obtido/todos os créditos pagos devidamente,negócios,1953,< 100,> 7,4,Homem, solteiro,nenhum,4,desconhecido/sem propriedade,61,nenhum,de graça,1,gestão / autônomo / funcionário / diretor altamente qualificado,1,"Sim, registrado em nome do cliente",Sim,Ruim,63
Regular,48,nenhum crédito obtido/todos os créditos pagos devidamente,negócios,14421,< 100,1 - 4,2,Homem, solteiro,nenhum,2,"carro ou outro, não em conta poupança/títulos",25,nenhum,própria,1,funcionário/funcionário qualificado,1,"Sim, registrado em nome do cliente",Sim,Ruim,64
Inexistente,24,créditos existentes pagos devidamente até agora,rádio/televisão,3181,< 100,...<1ano,4,Mulher,uniao registrada,nenhum,4,contrato de poupança/seguro de vida da sociedade civil,26,nenhum,própria,1,funcionário/funcionário qualificado,1,"Sim, registrado em nome do cliente",Sim,Bom,65
Inexistente,27,créditos existentes pagos devidamente até agora,reparos,5190,desconhecido/semcontapoupança,> 7,4,Homem, solteiro,nenhum,4,contrato de poupança/seguro de vida da sociedade civil,48,nenhum,própria,4,funcionário/funcionário qualificado,2,"Sim, registrado em nome do cliente",Sim,Bom,66
Inexistente,12,créditos existentes pagos devidamente até agora,rádio/televisão,2171,< 100,...<1ano,2,Mulher,uniao registrada,nenhum,2,"carro ou outro, não em conta poupança/títulos",29,banco,própria,1,funcionário/funcionário qualificado,1,Nenhum,Sim,Bom,67
Regular,12,créditos existentes pagos devidamente até agora,carro (novo),1007,> 1000,1 - 4,4,Homem,uniao registrada,nenhum,1,imobiliária,22,nenhum,própria,1,funcionário/funcionário qualificado,1,Nenhum,Sim,Bom,68
Inexistente,36,créditos existentes pagos devidamente até agora,educação,1819,< 100,1 - 4,4,Homem, solteiro,nenhum,4,desconhecido/sem propriedade,37,lojas,de graça,1,funcionário/funcionário qualificado,1,"Sim, registrado em nome do cliente",Sim,Ruim,69
Inexistente,36,créditos existentes pagos devidamente até agora,rádio/televisão,2394,desconhecido/semcontapoupança,1 - 4,4,Mulher,uniao registrada,nenhum,4,"carro ou outro, não em conta poupança/títulos",25,nenhum,própria,1,funcionário/funcionário qualificado,1,Nenhum,Sim,Bom,70
Inexistente,36,créditos existentes pagos devidamente até agora,carro (usado),8133,< 100,1 - 4,1,Mulher,uniao registrada,nenhum,2,contrato de poupança/seguro de vida da sociedade civil,30,banco,própria,1,funcionário/funcionário qualificado,1,Nenhum,Sim,Bom,71
Inexistente,7,conta crítica/outros créditos existentes (não neste banco),rádio/televisão,730,desconhecido/semcontapoupança,> 7,4,Homem, solteiro,nenhum,2,contrato de poupança/seguro de vida da sociedade civil,46,nenhum,alugada,2,não qualificado - residente,1,"Sim, registrado em nome do cliente",Sim,Bom,72
Negativo,8,conta crítica/outros créditos existentes (não neste banco),carro (usado)0,1164,< 100,> 7,3,Homem, solteiro,nenhum,4,desconhecido/sem propriedade,51,banco,de graça,2,gestão / autônomo / funcionário / diretor altamente qualificado,2,"Sim, registrado em nome do cliente",Sim,Bom,73
Regular,42,conta crítica/outros créditos existentes (não neste banco),negócios,5954,< 100,4 - 7,2,Mulher,uniao registrada,nenhum,1,imobiliária,41,banco,própria,2,não qualificado - residente,1,Nenhum,Sim,Bom,74
Negativo,36,créditos existentes pagos devidamente até agora,educação,1977,desconhecido/semcontapoupança,> 7,4,Homem, solteiro,nenhum,4,desconhecido/sem propriedade,40,nenhum,própria,1,gestão / autônomo / funcionário / diretor altamente qualificado,1,"Sim, registrado em nome do cliente",Sim,Ruim,75
Negativo,12,conta crítica/outros créditos existentes (não neste banco),carro (usado),1526,< 100,> 7,4,Homem, solteiro,nenhum,4,desconhecido/sem propriedade,66,nenhum,de graça,2,gestão / autônomo / funcionário / diretor altamente qualificado,1,Nenhum,Sim,Bom,76
Negativo,42,créditos existentes pagos devidamente até agora,rádio/televisão,3965,< 100,...<1ano,4,Homem, solteiro,nenhum,3,"carro ou outro, não em conta poupança/títulos",34,nenhum,própria,1,funcionário/funcionário qualificado,1,Nenhum,Sim,Ruim,77
Regular,11,atraso no pagamento no passado,rádio/televisão,4771,< 100,4 - 7,2,Homem, solteiro,nenhum,4,contrato de poupança/seguro de vida da sociedade civil,51,nenhum,própria,1,funcionário/funcionário qualificado,1,Nenhum,Sim,Bom,78
Inexistente,54,nenhum crédito obtido/todos os créditos pagos devidamente,carro (usado),9436,desconhecido/semcontapoupança,1 - 4,2,Homem, solteiro,nenhum,2,contrato de poupança/seguro de vida da sociedade civil,39,nenhum,própria,1,não qualificado - residente,2,Nenhum,Sim,Bom,79
Regular,30,créditos existentes pagos devidamente até agora,móveis/equipamentos,3832,< 100,...<1ano,2,Homem,uniao registrada,nenhum,1,contrato de poupança/seguro de vida da sociedade civil,22,nenhum,própria,1,funcionário/funcionário qualificado,1,Nenhum,Sim,Bom,80
Inexistente,24,créditos existentes pagos devidamente até agora,rádio/televisão,5943,desconhecido/semcontapoupança,...<1ano,1,Mulher,uniao registrada,nenhum,1,"carro ou outro, não em conta poupança/títulos",44,nenhum,própria,2,funcionário/funcionário qualificado,1,"Sim, registrado em nome do cliente",Sim,Ruim,81
Inexistente,15,créditos existentes pagos devidamente até agora,rádio/televisão,1213,500 - 1000,> 7,4,Homem, solteiro,nenhum,3,contrato de poupança/seguro de vida da sociedade civil,47,lojas,própria,1,funcionário/funcionário qualificado,1,"Sim, registrado em nome do cliente",Sim,Bom,82
Inexistente,18,créditos existentes pagos devidamente até agora,negócios,1568,100 - 500,1 - 4,3,Mulher,uniao registrada,nenhum,4,contrato de poupança/seguro de vida da sociedade civil,24,nenhum,alugada,1,não qualificado - residente,1,Nenhum,Sim,Bom,83
Negativo,24,créditos existentes pagos devidamente até agora,carro (usado)0,1755,< 100,> 7,4,Mulher,uniao registrada,fiador,4,imobiliária,58,nenhum,própria,1,não qualificado - residente,1,"Sim, registrado em nome do cliente",Sim,Bom,84
Negativo,10,créditos existentes pagos devidamente até agora,rádio/televisão,2315,< 100,> 7,3,Homem, solteiro,nenhum,4,imobiliária,52,nenhum,própria,1,não qualificado - residente,1,Nenhum,Sim,Bom,85
Inexistente,12,conta crítica/outros créditos existentes (não neste banco),negócios,1412,< 100,1 - 4,4,Mulher,uniao registrada,fiador,2,imobiliária,29,nenhum,própria,2,gestão / autônomo / funcionário / diretor altamente qualificado,1,"Sim, registrado em nome do cliente",Sim,Bom,86
Regular,18,conta crítica/outros créditos existentes (não neste banco),móveis/equipamentos,1295,< 100,...<1ano,4,Mulher,uniao registrada,nenhum,1,contrato de poupança/seguro de vida da sociedade civil,27,nenhum,própria,2,funcionário/funcionário qualificado,1,Nenhum,Sim,Bom,87
Regular,36,créditos existentes pagos devidamente até agora,educação,12612,100 - 500,1 - 4,1,Homem, solteiro,nenhum,4,desconhecido/sem propriedade,47,nenhum,de graça,1,funcionário/funcionário qualificado,2,"Sim, registrado em nome do cliente",Sim,Ruim,88
Negativo,18,créditos existentes pagos devidamente até agora,carro (novo),2249,100 - 500,4 - 7,4,Homem, solteiro,nenhum,3,"carro ou outro, não em conta poupança/títulos",30,nenhum,própria,1,gestão / autônomo / funcionário / diretor altamente qualificado,2,"Sim, registrado em nome do cliente",Sim,Bom,89
Negativo,12,nenhum crédito obtido/todos os créditos pagos devidamente,reparos,1108,< 100,4 - 7,4,Homem, solteiro,nenhum,3,imobiliária,28,nenhum,própria,2,funcionário/funcionário qualificado,1,Nenhum,Sim,Ruim,90
Inexistente,12,conta crítica/outros créditos existentes (não neste banco),rádio/televisão,618,< 100,> 7,4,Homem, solteiro,nenhum,4,imobiliária,56,nenhum,própria,1,funcionário/funcionário qualificado,1,Nenhum,Sim,Bom,91
Negativo,12,conta crítica/outros créditos existentes (não neste banco),carro (usado),1409,< 100,> 7,4,Homem, solteiro,nenhum,3,imobiliária,54,nenhum,própria,1,funcionário/funcionário qualificado,1,Nenhum,Sim,Bom,92
Inexistente,12,conta crítica/outros créditos existentes (não neste banco),rádio/televisão,797,desconhecido/semcontapoupança,> 7,4,Mulher,uniao registrada,nenhum,3,contrato de poupança/seguro de vida da sociedade civil,33,banco,própria,1,não qualificado - residente,2,Nenhum,Sim,Ruim,93
Alto,24,conta crítica/outros créditos existentes (não neste banco),móveis/equipamentos,3617,desconhecido/semcontapoupança,> 7,4,Homem, solteiro,co-requerente,4,desconhecido/sem propriedade,20,nenhum,alugada,2,funcionário/funcionário qualificado,1,Nenhum,Sim,Bom,94
Regular,12,créditos existentes pagos devidamente até agora,carro (novo),1318,> 1000,> 7,4,Homem, solteiro,nenhum,4,imobiliária,54,nenhum,própria,1,funcionário/funcionário qualificado,1,"Sim, registrado em nome do cliente",Sim,Bom,95
Regular,54,nenhum crédito obtido/todos os créditos pagos devidamente,negócios,15945,< 100,...<1ano,3,Homem, solteiro,nenhum,4,desconhecido/sem propriedade,58,nenhum,alugada,1,funcionário/funcionário qualificado,1,"Sim, registrado em nome do cliente",Sim,Ruim,96
Inexistente,12,conta crítica/outros créditos existentes (não neste banco),educação,2012,desconhecido/semcontapoupança,4 - 7,4,Mulher,uniao registrada,nenhum,2,"carro ou outro, não em conta poupança/títulos",61,nenhum,própria,1,funcionário/funcionário qualificado,1,Nenhum,Sim,Bom,97
Regular,18,créditos existentes pagos devidamente até agora,negócios,2622,100 - 500,1 - 4,4,Homem, solteiro,nenhum,4,"carro ou outro, não em conta poupança/títulos",34,nenhum,própria,1,funcionário/funcionário qualificado,1,Nenhum,Sim,Bom,98
Regular,36,conta crítica/outros créditos existentes (não neste banco),rádio/televisão,2337,< 100,> 7,4,Homem, solteiro,nenhum,4,imobiliária,36,nenhum,própria,1,funcionário/funcionário qualificado,1,Nenhum,Sim,Bom,99
Regular,20,atraso no pagamento no passado,carro (usado),7057,desconhecido/semcontapoupança,4 - 7,3,Homem, solteiro,nenhum,4,contrato de poupança/seguro de vida da sociedade civil,36,banco,alugada,2,gestão / autônomo / funcionário / diretor altamente qualificado,2,"Sim, registrado em nome do cliente",Sim,Bom,100
Inexistente,24,créditos existentes pagos devidamente até agora,carro (novo),1469,100 - 500,> 7,4,Homem,uniao registrada,nenhum,4,imobiliária,41,nenhum,alugada,1,não qualificado - residente,1,Nenhum,Sim,Bom,101
Regular,36,créditos existentes pagos devidamente até agora,rádio/televisão,2323,< 100,4 - 7,4,Homem, solteiro,nenhum,4,"carro ou outro, não em conta poupança/títulos",24,nenhum,alugada,1,funcionário/funcionário qualificado,1,Nenhum,Sim,Bom,102
Inexistente,6,atraso no pagamento no passado,rádio/televisão,932,< 100,1 - 4,3,Mulher,uniao registrada,nenhum,2,imobiliária,24,nenhum,própria,1,funcionário/funcionário qualificado,1,Nenhum,Sim,Bom,103
Regular,9,conta crítica/outros créditos existentes (não neste banco),móveis/equipamentos,1919,< 100,4 - 7,4,Homem, solteiro,nenhum,3,"carro ou outro, não em conta poupança/títulos",35,nenhum,alugada,1,funcionário/funcionário qualificado,1,"Sim, registrado em nome do cliente",Sim,Bom,104
Inexistente,12,créditos existentes pagos devidamente até agora,carro (usado),2445,desconhecido/semcontapoupança,...<1ano,2,Homem,uniao registrada,nenhum,4,"carro ou outro, não em conta poupança/títulos",26,nenhum,alugada,1,funcionário/funcionário qualificado,1,"Sim, registrado em nome do cliente",Sim,Bom,105
